,City,Latitude,Temperature,Humidity,Wind Speed,Cloudiness
0,la ronge,55.1,-36.41,73,2.24,20
1,anito,12.45,77.42,100,20.8,100
2,vaitupu,,,,,0
3,jamestown,-33.21,63.74,60,9.95,68
4,thompson,55.74,-40.01,65,4.7,5
5,torbay,47.66,30.2,92,17.22,90
6,djibo,14.1,87.09,17,14.2,0
7,ribeira grande,38.52,62.6,82,6.93,75
8,caldwell,43.67,37.94,92,12.75,90
9,illoqqortoormiut,,,,,0
10,bathsheba,13.22,84.2,58,16.11,40
11,bluff,-23.58,73.14,69,8.61,0
12,mataura,-46.19,50.1,91,26.17,100
13,albany,42.65,26.06,58,11.41,90
14,hidalgo,26.1,66.02,37,24.16,1
15,mormugao,,,,,0
16,voznesenye,61.02,14.55,88,13.76,80
17,srednekolymsk,67.46,-34.37,0,2.13,8
18,attawapiskat,,,,,0
19,busselton,-33.64,74.99,82,15.66,0
20,yellowknife,62.45,-13.01,75,12.75,90
21,saint-philippe,45.36,-5.08,57,14.99,1
22,christchurch,-43.53,60.8,38,6.93,0
23,port hardy,50.7,42.8,87,10.29,90
24,ushuaia,-54.81,55.4,71,28.86,75
25,huilong,28.89,37.77,94,4.36,92
26,burnie,-41.05,63.2,100,17.22,20
27,tura,25.52,55.1,82,2.35,0
28,qaanaaq,77.48,-22.71,64,12.19,0
29,mount isa,-20.73,95,21,9.17,0
30,castro,-42.48,69.8,60,8.05,0
31,totness,33.74,53.6,93,8.05,90
32,morwell,-38.24,58.65,79,2.57,0
33,kaeo,-35.1,62.79,96,5.82,12
34,lata,30.78,34.22,96,1.68,20
35,saleaula,,,,,0
36,mahebourg,-20.41,82.4,74,9.17,75
37,zarand,30.81,44.6,5,13.87,0
38,stephenville,32.22,39.38,61,19.46,1
39,taolanaro,,,,,0
40,barrow,-38.31,77.82,55,8.05,0
41,broken hill,-31.97,78.8,21,14.99,20
42,fort nelson,58.81,-4.01,76,3.13,90
43,narsaq,60.91,21.2,79,17.22,75
44,taoudenni,22.68,71.7,20,12.19,0
45,okha,53.59,0.47,74,17.45,0
46,hambantota,6.12,75.2,100,2.24,40
47,kerema,-7.96,72.87,99,2.35,88
48,cedar rapids,41.98,15.98,77,13.87,40
49,necochea,-38.55,72.92,90,8.16,0
50,atuona,-9.8,81.11,100,19.13,0
51,rikitea,-23.12,79.49,100,13.31,76
52,nome,30.04,57.02,66,24.16,90
53,galle,29.74,48.38,55,28.86,1
54,bredasdorp,-34.53,71.6,37,14.99,0
55,kalmunai,7.42,74.63,86,9.06,8
56,meulaboh,4.14,78.95,100,4.36,56
57,boa vista,2.82,89.6,49,17.22,40
58,kaitangata,-46.28,51.14,80,31.99,68
59,vaini,15.34,73.82,48,4.92,0
60,san ramon,12.92,66.2,82,18.34,40
61,port elizabeth,39.31,37.94,72,5.82,90
62,kokopo,-4.34,77.33,100,6.38,100
63,norman wells,65.28,3.2,65,18.34,75
64,port lincoln,-34.72,66.17,89,12.97,80
65,mar del plata,-46.43,83.18,30,19.01,0
66,belushya guba,,,,,0
67,jalu,29.03,69.68,21,10.18,76
68,manzil salim,35.86,51.8,40,8.05,75
69,jacmel,18.24,82.4,65,11.41,20
70,chuy,-33.69,71.52,91,18.79,20
71,punta arenas,-53.16,59,58,27.51,75
72,liverpool,53.41,41,86,9.17,90
73,palabuhanratu,,,,,0
74,khatanga,71.98,-9.17,33,5.48,8
75,takayama,36.14,16.58,89,1.34,76
76,dikson,73.51,10.05,100,4.92,56
77,warrnambool,-38.38,61.76,95,7.49,0
78,vanimo,-2.67,83.36,100,5.93,92
79,batie,45.06,46.4,60,8.05,0
80,kendari,-3.99,73.64,98,2.57,56
81,esperance,10.24,86,51,14.99,40
82,bambous virieux,-20.34,82.4,74,9.17,75
83,cayenne,4.94,82.4,74,12.75,75
84,davila,18.47,75.2,88,2.24,20
85,port blair,11.67,80.93,100,18.01,48
86,aitape,-3.15,80.3,98,3.91,92
87,fortuna,38.18,60.8,36,1.12,0
88,najran,17.54,68,30,6.93,90
89,georgetown,6.8,86,74,13.87,75
90,martapura,-3.41,80.6,88,2.24,20
91,avera,33.19,59,96,11.41,90
92,nizhneyansk,,,,,0
93,urengoy,65.96,5.55,82,15.99,48
94,mazamari,-11.33,74.45,79,2.35,8
95,grand river south east,,,,,0
96,hithadhoo,-0.6,80.75,100,5.59,88
97,revda,67.94,-7.41,59,2.13,20
98,tasiilaq,65.61,23,85,31.09,0
99,new norfolk,-42.78,62.6,55,11.41,20
100,hilo,19.71,66.92,93,5.82,75
101,bitburg,49.97,33.8,55,9.17,1
102,tuktoyaktuk,69.44,-5.81,76,11.41,20
103,kloulklubed,7.04,78.8,94,8.05,75
104,katsuura,33.93,42.8,70,9.17,75
105,porbandar,21.64,71.25,79,8.16,0
106,kununurra,-15.77,84.2,79,3.02,48
107,ajdabiya,30.75,67.92,27,10.96,92
108,oregon city,45.36,50,96,4.7,90
109,talnakh,69.49,12.12,78,14.88,68
110,harper,30.3,42.98,58,26.4,40
111,bubaque,11.28,84.08,80,17.67,0
112,klaksvik,62.23,39.2,100,11.41,8
113,provost,52.35,-0.89,73,13.65,80
114,minab,27.15,69.8,56,11.41,0
115,esperantina,-3.89,80.75,97,5.7,48
116,el dorado,6.71,73.01,97,2.8,92
117,ulladulla,-35.36,64.4,100,4.7,90
118,cherskiy,68.75,-27.75,44,6.15,44
119,hinton,53.4,3.84,84,2.46,68
120,beauceville,46.21,-4.31,26,3.58,12
121,altus,34.64,32.18,64,20.8,90
122,tigil,57.8,-6.11,56,6.15,20
123,leningradskiy,69.38,-12.81,81,16.22,8
124,butaritari,3.07,84.26,100,9.17,88
125,obo,5.39,89.66,36,7.38,0
126,coihaique,-45.58,71.6,46,8.05,75
127,saint george,39.45,57.2,76,4.7,20
128,hermanus,-34.42,67.43,54,5.93,0
129,sakakah,,,,,0
130,arraial do cabo,-22.97,91.4,59,14.99,0
131,kodiak,39.95,14.72,87,19.46,90
132,puerto ayora,-0.74,77,94,4.7,75
133,pervoye maya,40.63,20.72,72,2.57,12
134,saskylakh,71.97,-23.66,35,13.42,64
135,nanortalik,60.14,26.52,92,31.43,76
136,avarua,-21.21,78.8,88,3.36,40
137,hokitika,-42.72,58.52,100,22.93,92
138,yamada,36.58,41,80,3.36,75
139,hofn,64.25,41.51,99,20.24,92
140,namibe,-15.19,80.6,69,14.99,40
141,villa rica,-10.74,78.59,76,0.45,8
142,batagay-alyta,67.8,-48.59,0,2.57,36
143,nador,35.17,60.8,72,12.75,75
144,te anau,-45.41,44.7,93,11.97,92
145,tabou,4.42,82.64,100,9.4,32
146,sumbawa,,,,,0
147,lolua,,,,,0
148,uttarkashi,30.73,34.22,96,1.68,20
149,vila franca do campo,37.72,60.8,87,12.75,75
150,cururupu,-1.82,80.93,93,6.93,92
151,barroualie,,,,,0
152,yerofey pavlovich,53.97,-19.88,27,2.46,0
153,guerrero negro,27.97,55.64,72,11.18,0
154,souillac,45.6,50,87,5.82,68
155,collie,-33.36,77.42,30,11.97,0
156,nikolskoye,59.7,21.2,92,4.47,75
157,nichinan,31.65,50.19,100,6.38,76
158,faanui,-16.48,81.87,100,14.43,64
159,marcona,,,,,0
160,cartagena,37.63,60.8,48,9.17,0
161,neryungri,56.66,-29.24,42,4.14,0
162,mahadday weyne,,,,,0
163,yulara,-25.24,78.8,65,18.34,92
164,upernavik,72.79,-4.08,100,13.98,24
165,sorvag,,,,,0
166,juneau,58.3,28.94,91,2.91,75
167,lentvaris,54.64,28.4,86,10.29,90
168,lasa,34.92,57.2,71,8.05,75
169,songjianghe,42.18,-4.76,62,3.69,20
170,victoria,5.28,82.4,88,6.93,75
171,gamovo,57.87,24.8,85,11.18,75
172,ngunguru,-35.62,68.51,97,7.49,0
173,severo-kurilsk,50.68,28.05,100,7.94,88
174,lompoc,34.64,50,70,6.49,40
175,flinders,-34.58,64.4,100,4.7,90
176,tuban,-6.9,73.32,99,2.57,36
177,kindu,-2.95,80.03,77,2.68,48
178,west bay,50.71,46.4,87,1.12,40
179,joshimath,30.57,5.87,100,0.34,0
180,toul,48.68,42.8,93,5.82,90
181,cidreira,-30.17,71.21,100,18.01,100
182,utiroa,,,,,0
183,ponta delgada,37.73,60.8,87,12.75,75
184,bengkulu,,,,,0
185,mehamn,71.03,13.61,91,3.58,76
186,faya,18.39,60.8,67,10.29,20
187,padang,-0.92,80.6,94,2.24,40
188,carutapera,-1.2,83.22,84,8.28,56
189,richards bay,-28.77,70.04,94,18.45,92
190,berdigestyakh,62.1,-37.79,0,3.58,12
191,cabo san lucas,22.89,66.2,63,9.17,20
192,haines junction,60.75,-6.56,77,2.13,36
193,vostok,46.45,-17.85,24,2.24,32
194,tsihombe,,,,,0
195,dvinskoy,62.16,14.87,81,3.69,68
196,hobart,-42.88,62.6,55,11.41,20
197,dongsheng,29.72,37.95,94,4.7,8
198,zhanatas,,,,,0
199,letlhakane,-21.42,86.15,63,6.6,48
200,san cristobal,-0.39,62.6,67,2.24,75
201,sao joao da barra,-21.64,91.4,46,13.87,20
202,stephenville crossing,48.5,19.4,67,21.92,40
203,rudsar,37.14,46.4,81,4.47,40
204,yashkino,55.87,19.4,73,13.42,0
205,mongoumba,3.64,92,39,3.02,0
206,ostrovnoy,68.05,-7.23,74,4.14,8
207,dedougou,12.47,89.79,22,10.85,0
208,port alfred,-33.59,69.23,74,21.47,0
209,ancud,-41.87,69.8,60,8.05,0
210,viedma,-40.81,87.23,24,17.45,0
211,marawi,8,68.78,98,2.24,92
212,akdepe,42.05,26.6,92,16.11,90
213,matara,-13.74,51.8,57,5.82,0
214,qui nhon,,,,,0
215,macheng,31.18,32.82,89,5.26,0
216,skibbereen,51.55,46.4,87,3.36,75
217,piryion,,,,,0
218,jutai,-1.71,80.3,91,2.13,88
219,samusu,,,,,0
220,cerritos,33.86,57.92,100,8.39,1
221,barentsburg,,,,,0
222,san antero,9.38,87.8,70,4.59,20
223,tanout,14.97,89.75,17,9.4,12
224,teluknaga,-6.1,80.6,74,5.82,20
225,jeremie,18.65,78.45,97,5.48,0
226,manicore,-5.81,88.94,70,2.91,8
227,pahrump,36.21,37.94,75,5.82,1
228,jumla,29.28,19.59,93,2.13,8
229,angoram,-4.06,78.77,93,1.9,100
230,panguna,-6.32,75.39,93,2.24,44
231,mount gambier,-37.83,51.8,93,2.24,40
232,acajutla,13.59,64.4,82,2.24,0
233,sentyabrskiy,,,,,0
234,chimbote,-9.08,73.19,78,3.36,0
235,kjollefjord,70.95,13.61,91,3.58,76
236,lagdo,9.06,96.8,6,2.24,0
237,bjornevatn,69.67,3.2,84,14.99,20
238,provideniya,64.42,18.65,100,6.38,64
239,wadi musa,30.32,55.4,47,11.41,0
240,pedernales,0.07,76.2,94,7.72,44
241,langangen,,,,,0
242,ust-omchug,61.13,-43.28,0,2.46,20
243,east london,-33.02,68,60,26.4,0
244,cao bang,22.67,52.76,91,2.91,24
245,teya,21.05,73.4,73,12.75,40
246,high prairie,55.43,10.19,68,9.17,88
247,vila velha,-3.71,77,94,3.36,75
248,ardabil,38.25,23,73,18.34,0
249,trairi,-3.28,77.42,100,6.6,76
250,pangnirtung,66.15,-25.61,74,2.24,5
251,neubrandenburg,53.56,30.2,92,6.93,75
252,portland,45.52,50,96,4.7,90
253,arzachena,41.08,53.6,71,11.41,20
254,amderma,,,,,0
255,aldan,58.61,-24.65,35,4.59,0
256,les escoumins,48.35,-12.63,39,5.14,0
257,saint anthony,43.97,30.02,88,12.75,90
258,carnarvon,-30.97,77.55,7,10.51,0
259,yanchukan,,,,,0
260,tynda,55.15,-23.39,32,5.59,0
261,astana,51.13,30.2,100,17.9,90
262,nouadhibou,20.93,71.6,35,16.11,0
263,laguna,27.52,53.6,71,3.36,5
264,belaya gora,68.54,-50.43,0,3.02,20
265,husavik,50.56,-37.07,0,3.91,0
266,mys shmidta,,,,,0
267,vardo,39.62,37.4,69,8.05,90
268,greeneville,36.16,53.6,66,5.82,1
269,west wendover,40.74,28.94,92,5.82,90
270,bethel,60.79,3.92,82,11.41,1
271,mayumba,-3.44,80.39,100,7.72,48
272,sawtell,-30.38,77,83,8.05,90
273,galgani,,,,,0
274,youghal,51.95,46.4,87,3.36,75
275,wajima,37.4,48.17,87,11.97,80
276,micheweni,-4.97,82.91,98,19.24,0
277,karakol,42.49,0.47,72,1.12,32
278,isangel,-19.55,78.32,100,19.8,80
279,ahipara,-35.17,67.02,97,8.28,92
280,luderitz,-26.65,72.02,52,25.05,0
281,palkaka,,,,,0
282,beloha,-25.17,87.72,52,9.17,80
283,touros,-5.2,89.6,59,18.34,75
284,innisfail,52.02,3.2,84,8.05,90
285,bousso,,,,,0
286,paracuru,-3.41,77,94,3.36,75
287,stoyba,,,,,0
288,codrington,-28.95,75.2,94,5.82,90
289,bargal,,,,,0
290,belyy yar,53.6,-0.41,84,2.91,48
291,prince rupert,54.32,42.8,75,5.82,90
292,wagar,31.44,63.6,97,11.41,92
293,olafsvik,,,,,0
294,kapaa,22.08,71.96,73,11.41,90
295,westport,53.8,41,100,1.12,75
296,neepawa,50.23,-27.41,67,4.7,20
297,ishigaki,24.34,72.56,100,6.93,8
298,port jervis,41.38,32,78,4.7,20
299,bay roberts,47.58,30.2,100,12.75,90
300,lebu,8.96,68.96,28,7.16,0
301,margate,-43.03,62.6,55,11.41,20
302,sungairaya,0.7,75.44,99,2.01,92
303,lahad datu,5.02,75.71,100,4.36,68
304,champerico,16.38,68,77,2.24,5
305,salalah,17.01,77,65,3.36,0
306,ucluelet,48.94,48.2,76,17.22,75
307,menongue,-14.66,77.06,62,2.46,48
308,atambua,-9.11,76.74,100,2.8,76
309,kyabe,9.45,96.32,17,6.38,0
310,tiksi,71.64,-47.06,0,3.24,8
311,samalaeulu,,,,,0
312,kano,11.99,92.45,18,7.27,8
313,kawalu,-7.38,66.71,94,1.9,20
314,riviere-au-renard,49,1.4,49,12.75,40
315,cape town,-33.93,68,45,24.16,0
316,del rio,29.36,50.36,47,17.22,1
317,quatre cocos,-20.21,82.4,74,9.17,75
318,babanusah,,,,,0
319,camacha,33.08,62.6,59,11.41,75
320,progreso,-34.68,73.4,53,10.29,40
321,den helder,52.96,37.4,74,9.17,0
322,baruni,43.8,42.8,75,4.7,75
323,tumannyy,,,,,0
324,griffith,-34.29,71.6,33,6.93,0
325,aberdeen,45.47,-13.01,77,5.82,90
326,susanville,40.42,35.6,100,4.36,90
327,tawkar,,,,,0
328,los llanos de aridane,28.66,66.2,72,13.87,75
329,arandis,-22.42,85.02,36,9.62,0
330,saravan,39.72,37.4,80,2.24,40
331,pevek,69.7,-18.53,100,8.95,44
332,centerville,40.92,33.26,79,4.7,20
333,sinkat,,,,,0
334,marzuq,14.4,71.21,38,4.14,8
335,suluq,31.67,63.02,30,11.63,92
336,kavieng,-2.57,78.27,100,18.79,92
337,opuwo,-18.06,90.38,23,3.69,24
338,sao geraldo do araguaia,-6.4,81.38,90,8.61,80
339,jiexiu,37.02,15.23,49,3.58,12
340,pavlovka,52.69,31.52,98,7.49,88
341,dryden,49.79,-27.41,67,6.93,1
342,alma,40.1,10.22,88,11.41,1
343,sitka,37.17,19.19,69,20.47,8
344,salamiyah,35.01,41.24,57,2.35,20
345,chokurdakh,70.62,-36.53,0,3.36,56
346,ust-koksa,50.27,-7.82,65,1.9,20
347,manjacaze,-24.71,80.7,79,22.82,92
348,barrancas,-33.1,77,47,11.41,0
349,wulanhaote,,,,,0
350,san jose,15.79,71.39,93,3.91,56
351,perevolotskiy,51.88,16.94,85,5.37,88
352,chiclana,-35.73,76.34,69,10.96,0
353,kabinda,-6.14,79.04,83,6.15,20
354,bilma,18.69,77.55,22,10.96,0
355,qasigiannguit,68.82,8.6,78,8.05,75
356,shenjiamen,29.96,50.1,100,16.22,92
357,mandalgovi,45.76,-3.32,66,8.16,0
358,daitari,21.11,62.57,65,5.14,0
359,kiunga,-6.12,74.81,93,1.9,48
360,hasaki,35.73,35.6,64,2.24,75
361,byron bay,-28.65,75.2,100,2.24,40
362,korcula,42.96,42.8,75,4.7,75
363,hirara,24.8,72.15,100,8.16,0
364,hue,16.47,69.8,100,3.36,75
365,caravelas,-17.73,80.79,100,14.2,8
366,pinawa,50.15,-28.52,45,3.13,24
367,makiyivka,48.05,32.24,97,9.95,76
368,egvekinot,66.32,-27.3,41,2.35,0
369,dingzhou,38.51,21.2,44,2.24,76
370,grand centre,,,,,0
371,uspenskoye,44.83,35.6,43,8.95,0
372,kayerkan,69.35,13.16,86,16.44,68
373,san pedro,-33.68,75.57,71,7.49,0
374,ouango,4.31,91.91,33,3.58,0
375,manokwari,-0.87,80.79,100,0.56,68
376,vestmannaeyjar,63.44,33.8,100,8.05,90
377,burica,,,,,0
378,north ogden,41.31,33.08,79,4.7,20
379,piacabucu,-10.41,85.25,71,10.51,36
380,ugento,39.93,51.8,81,6.93,75
381,muros,42.77,53.6,100,3.36,75
382,inhambane,-23.87,82.4,78,20.8,75
383,umm kaddadah,13.6,72.42,39,8.72,0
384,akcaabat,41.02,44.6,86,2.24,0
385,sokoni,-12.89,71.7,87,3.91,88
386,namtsy,62.72,-45.41,57,2.24,90
387,tuatapere,-46.13,51.59,100,26.96,76
388,hualmay,-11.1,74.9,76,4.59,8
389,tilichiki,60.47,16.17,87,8.28,76
390,male,50.74,22.43,87,8.5,68
391,korla,,,,,0
392,aksaray,38.37,24.8,85,9.17,75
393,rocha,-34.48,67.7,79,11.18,48
394,beringovskiy,63.05,2.27,100,7.05,92
395,lagoa,37.14,60.8,87,13.87,40
396,dingle,11,76.7,74,14.76,48
397,krasnomayskiy,55,17.6,78,8.95,48
398,payson,40.04,33.26,81,5.82,90
399,naze,5.43,95,47,5.82,75
400,brae,60.4,42.8,100,8.05,24
401,palembang,-2.99,78.8,94,5.82,20
402,forbes,-33.38,74.72,63,3.58,0
403,olinda,-2.03,80.6,74,5.82,40
404,broome,52.47,41,75,10.29,0
405,sur,22.57,72.02,100,11.74,0
406,aquiraz,-3.9,77,94,3.36,75
407,ponta do sol,-20.63,85.16,70,8.61,0
408,aksarka,66.56,-4.08,65,11.52,0
409,ascension,,,,,0
410,manado,1.49,77,94,2.24,20
411,krasnoselkup,,,,,0
412,longyearbyen,78.22,-0.41,64,6.93,75
413,abalak,15.46,93.71,15,14.99,0
414,zhangye,38.94,16.94,91,3.47,68
415,banda aceh,5.56,77.55,90,5.14,48
416,coihueco,-36.63,78.8,39,11.41,0
417,geraldton,49.72,-31.01,66,2.24,5
418,poum,41.28,42.8,70,2.24,75
419,miguelopolis,-20.18,86,45,3.36,20
420,moose factory,51.26,-34.61,73,9.17,1
421,namatanai,-3.66,80.48,100,10.74,92
422,ryotsu,38.08,44.57,100,7.27,88
423,rio grande,-32.03,68,94,9.17,90
424,swan hill,-35.34,66.08,54,11.41,0
425,odweyne,,,,,0
426,constitucion,23.99,42.8,74,4.7,75
427,kavaratti,10.57,81.87,100,4.36,0
428,kaiserslautern,49.44,36.32,64,8.05,20
429,biak,-0.91,77.69,100,2.91,20
430,mackenzie,55.34,15.8,92,2.24,90
431,waipawa,-39.94,68.33,69,20.92,12
432,abu samrah,35.3,42.59,75,4.14,12
433,peyima,8.69,93.26,40,4.59,0
434,pacific grove,36.62,50,86,3.36,1
435,ilulissat,69.22,8.6,78,8.05,75
436,pavlovsk,53.31,15.8,72,11.18,0
437,conroe,30.31,50,70,19.46,75
438,waingapu,-9.65,72.42,100,2.68,56
439,vetluga,57.85,15.77,83,6.15,44
440,dvorichna,49.85,20.54,86,9.84,0
441,coquimbo,-29.95,64.4,72,6.93,90
442,canakkale,40.15,57.2,62,5.82,75
443,mamakan,57.82,12.35,68,5.14,76
444,khasan,42.43,22.34,80,11.41,44
445,never,53.98,-15.6,44,5.37,0
446,ulundi,-28.29,64.05,85,10.29,92
447,kortkeros,61.81,6.8,92,4.47,40
448,sabang,13.72,78.5,84,14.65,88
449,healdsburg,38.61,55.04,100,3.36,90
450,taksimo,56.36,6.32,43,3.91,32
451,katangli,51.71,4.74,100,17.45,0
452,lieksa,63.32,11.54,81,3.36,80
453,paamiut,61.99,31.16,95,39.48,88
454,manbij,36.53,41,60,4.7,0
455,athens,34.8,60.08,93,11.41,90
456,gulbarga,17.33,71.7,48,6.71,0
457,mchinji,-13.8,78.32,62,6.93,76
458,awjilah,29.14,69.14,22,10.74,80
459,maceio,-9.67,86,58,13.87,75
460,nekhayevskiy,50.41,33,99,9.73,92
461,yerbogachen,61.28,8.3,78,5.37,88
462,izazi,-7.24,77,61,3.36,75
463,scarborough,54.28,39.2,93,6.93,36
464,lincoln,53.23,39.2,80,6.93,75
465,colares,38.8,59,93,13.87,75
466,san vicente,13.64,84.2,54,5.82,20
467,airai,-8.93,70.4,94,0.89,24
468,naryan-mar,67.67,4.52,61,13.31,0
469,lorengau,-2.02,75.8,100,15.99,92
470,iralaya,15,82.4,74,7.72,40
471,qeshm,26.96,68,56,11.41,0
472,yanan,,,,,0
473,mahon,51.89,46.4,87,3.36,75
474,malinovskiy,54.15,25.62,88,15.32,80
475,gorin,40.36,23,85,13.87,90
476,fairlie,33.31,37.04,73,20.8,90
477,soeng sang,14.43,77,61,5.37,8
478,udachnyy,66.42,-6.96,71,4.36,56
479,biharamulo,-2.64,74.18,76,4.47,32
480,saldanha,41.42,41.06,100,7.61,92
481,dondo,-19.62,91.4,66,8.61,75
482,dombarovskiy,50.76,-1.07,55,3.02,12
483,townsville,-19.26,78.8,74,9.17,88
484,rasra,25.86,56.81,81,6.15,0
485,visnes,59.36,35.6,100,10.29,40
486,temiscaming,46.72,-20.21,68,10.29,75
487,craig,40.52,11.48,94,3.02,90
488,chiredzi,-21.05,92.54,48,12.75,0
489,kedrovyy,56.17,28.4,42,6.71,0
490,singaraja,-8.11,72.65,100,0.89,56
491,ust-nera,64.57,-60.74,0,2.13,36
492,kamenskiy,50.89,32.42,95,9.51,88
493,sherghati,24.57,57.2,87,3.36,0
494,krutinka,56.01,15.32,91,5.82,64
495,sao jose da coroa grande,-8.9,83.04,87,7.61,44
496,grand gaube,-20.01,82.4,74,9.17,75
497,tupik,54.43,-17.99,24,1.68,20
498,manacor,39.57,53.6,62,9.17,20
499,parrita,9.52,77,56,17.22,0
500,tazovskiy,67.47,3.08,83,17,48
501,barbacoas,1.67,78.45,100,3.47,24
502,mirnyy,56.57,18.38,79,14.43,76
503,tocopilla,-22.09,68.55,92,3.91,8
504,trincomalee,8.58,72.2,83,6.82,8
505,karratha,-20.74,86.55,50,8.39,0
506,saint-pierre,48.95,37.4,80,8.05,90
507,verkhnyaya inta,65.99,1.19,70,4.14,12
508,wachtersbach,50.26,35.6,59,9.17,20
509,kahului,20.89,71.06,90,9.17,75
510,arrifes,37.77,60.8,87,12.75,75
511,san joaquin,10.59,76.7,74,14.76,48
512,vredendal,-31.68,80.84,26,9.4,0
513,bogande,12.97,91.37,20,8.95,0
514,vestmanna,62.16,39.2,100,11.41,0
515,sioux lookout,50.1,-27.41,67,6.93,1
516,rotifunk,8.23,94.7,44,2.35,8
517,pisco,-13.71,71.6,30,9.17,0
518,leesburg,39.12,37.4,93,4.7,90
519,coleraine,55.13,44.6,93,9.17,75
520,kutum,14.2,76.29,34,7.49,0
521,aflu,,,,,0
522,saqqez,36.24,20.85,79,2.35,0
523,robertsport,6.75,82.55,100,7.83,0
524,bambanglipuro,-7.95,73.19,97,2.68,12
525,clyde river,70.47,-23.81,82,8.05,20
526,nyagan,62.14,19.37,89,4.7,88
527,bandarbeyla,9.49,76.61,100,13.87,8
528,riyadh,24.63,57.2,30,4.7,0
529,kalabo,-15,71.3,100,7.27,24
530,san patricio,-26.98,71.57,84,6.6,56
531,disa,11.03,91.28,16,3.91,8
532,sibu,2.29,75.2,100,3.36,75
533,walvis bay,-22.95,69.8,64,10.29,0
534,marsh harbour,26.54,73.77,100,12.64,0
535,ossora,59.24,31.02,93,15.21,92
536,dunedin,-45.87,52.67,57,22.26,0
537,puerto montt,-41.47,59,87,4.7,90
538,amos,48.57,-32.81,73,3.36,75
539,tidore,,,,,0
540,aljezur,37.31,59.06,100,19.35,100
541,tayoltita,24.11,62.93,38,2.46,8
542,mogadishu,2.04,78.86,100,20.92,32
543,waddan,29.16,67.29,35,19.8,92
544,rab,,,,,0
545,tautira,-17.73,78.8,83,2.24,56
546,chimoio,-19.11,86,62,11.41,40
547,mercedes,-33.25,74.99,69,11.74,0
548,kuusamo,65.96,6.8,92,2.68,75
549,ambulu,-8.35,76.74,100,2.57,80
550,sarandi,-27.94,72.6,100,7.49,64
551,alofi,-19.06,77,94,6.93,48
552,folldal,62.14,17.52,87,6.93,68
553,lewistown,40.39,29.3,89,16.11,90
554,shar,7.3,98.52,26,5.37,0
555,kui buri,12.07,73.95,78,1.68,0
556,rock sound,24.9,74.72,100,11.74,0
557,koshki,54.2,29.67,96,9.62,88
558,caxito,-22.65,91.4,59,14.99,0
559,guiglo,6.55,89.25,63,4.03,24
560,karlovac,45.49,35.6,69,8.05,90
561,komsomolskiy,67.55,10.5,84,15.88,76
